Country Name,2022,2021,2020,2019,2018
Japan,216.21,216.33,215.76,198.01,197.34
Greece,203.29,237.49,253.23,212.45,208.85
Singapore,157.36,150.14,151.57,127.83,110.76
United Kingdom,142.28,186.85,196.61,160.32,158.16
Italy,139.0,164.25,176.13,147.57,139.91
Cyprus,125.92,152.66,175.15,147.16,148.53
Portugal,119.4,147.19,161.3,138.87,140.62
United States,110.39,118.89,124.73,100.12,98.45
Spain,104.79,126.97,134.04,109.68,106.6
Jordan,101.14,93.66483761874628,75.97,79.35,77.07837423302793
France,98.66,116.89,123.17,104.96,101.62
Belgium,94.04,108.01,119.27,103.37,101.38
Iceland,87.52,96.71,101.25,88.93,81.07
Bahamas,82.16,87.39,82.26,57.83,57.41
Croatia,82.08,90.32,98.0,81.16,83.32
Brazil,79.1,85.01,98.71,92.57,86.61
Mozambique,78.62,84.16,101.39,78.88,81.35
Hungary,75.47,86.86,95.86,83.3,86.51
Austria,75.05,94.64,99.91,83.12,84.22
Latvia,73.87,83.47,77.67,67.4,63.47
South Africa,73.0,70.53,72.1,60.71,54.76
Slovenia,71.86,92.58,107.43,84.23,82.4
Costa Rica,71.11,78.33296327459067,79.3720000480286,65.70128530040796,64.46151631241945
Colombia,69.87,80.04,90.75,72.33,71.33
Slovak Republic,64.51,78.84,78.33,63.11,63.78
Burkina Faso,62.53,55.74,73.39,47.06,45.57
Finland,60.79,66.21,70.21,60.53,60.27
Malaysia,60.27,63.26,62.01,52.42,51.19
Malta,59.11,68.53,70.04,56.33,58.36
Australia,57.97,69.91,69.22,60.14,54.43
Canada,56.09,65.6,69.86,48.59,48.95
Uganda,53.89,51.3,44.19,38.48,34.67
Netherlands,53.67,63.7,66.82,58.24,61.05
Malawi,52.63,53.973138031446304,54.68905726708059,44.68,41.7
South Korea,51.18,48.96,46.43,39.97,37.56
Romania,50.45,55.91,57.3,43.36,42.56
Poland,50.15,58.22,66.77,52.69,54.83
Kyrgyz Republic,50.06,59.34,70.66,54.1,54.74
Papua New Guinea,48.26,52.58,48.68,40.15,36.67
Czech Republic,46.82,47.28,45.62,36.64,38.34
Ireland,46.71,64.34,71.3,69.61,75.02
Armenia,46.55,60.08,63.4,50.03,48.053627450137206
Indonesia,45.54,44.4,42.9,33.73,33.14
Germany,44.53,54.48,55.07,44.65,46.0
Mexico,43.21,43.99,44.9,40.46,37.88299196795308
Georgia,42.97,54.73,65.19,44.72,38.22
Bosnia,39.93,45.38,44.73,40.27,40.83
Sweden,36.25,40.49,44.02,38.67,42.26
Turkey,36.09,43.55,43.18,36.7,31.96
Lithuania,36.05,48.21,52.86,42.11,38.5
Moldova,34.52,32.12,33.96,25.45,27.51
Bulgaria,30.3,32.9,32.26,26.94,28.7
Norway,28.71,30.86,33.06,28.61,28.34
Denmark,26.37,39.86,48.4,38.17,36.55
Luxembourg,26.23,28.7,29.45,27.52,25.37
Estonia,25.2,23.89,23.77,13.93,13.46
Switzerland,18.15,20.07,20.93,19.08,18.76
Russia,17.58,19.2,21.14,15.6,14.54
Democratic Republic Of Congo,15.99,17.61417638532843,17.84781719544336,14.773780789671259,14.495002753980973
Solomon Islands,15.39,11.709026573708805,11.46,7.74,7.69
Albania,78.09250388584327,82.11,83.27,75.37,74.02
Azerbaijan,17.62419661678131,16.87,22.25,16.283678387141524,15.976408911628972
Bahrain,101.43543565173717,111.73869013710635,115.52,95.6,88.24
Belarus,37.158648303962195,40.93301972897906,38.59,33.24,37.1
Bhutan,100.9964257281167,111.25508799642088,111.01,90.36,95.85
Botswana,17.30044095894322,19.057724740136734,19.62,16.19,15.23
Ethiopia,34.962078897414294,38.51333486534236,39.02418967690545,31.45,32.53
Micronesia,25.747493015619458,28.362781954792556,27.86,24.15,23.7
India,51.31801715565072,56.53061950750107,57.28046210298188,47.41470519188072,46.52
Iraq,30.270128777967663,33.34480222024569,33.78709974432121,27.967745280851396,27.44
Jamaica,97.53068434904763,107.43731564139561,106.28,92.25,88.41197862645994
Kazakhstan,21.45795699332564,22.41,23.72,18.48,21.97
Lesotho,24.574722600109396,27.070887961153456,2.99,32.17,32.84
Marshall Islands,46.917907530554935,51.683570911427374,52.36912050019136,41.73,44.12
Mongolia,66.37121652490352,66.92,73.88,60.82,65.92
Mauritius,61.91162863317233,68.20027186039071,69.10490494790722,57.96,55.38
Nepal,35.20681972827304,39.92,39.05,31.78,31.91513126455468
Peru,29.503497458304665,34.85,34.22,25.97,25.03
Palau,92.34459852711619,101.72445570287458,103.07376569722187,85.24,83.79
El Salvador,59.350372410419,65.98,69.96,53.43,51.67
San Marino,72.5723179682915,94.97,95.66,52.13,56.16
Eswatini,32.678104220462416,35.4,39.83,30.61,26.98
Tonga,46.70315602700883,51.44700612953397,45.02,42.55,48.7
Ukraine,54.35898056867185,59.88046728350386,57.08,47.02,55.34
Uruguay,54.94670295706046,60.52788728442215,62.38,51.58,48.16
Vanuatu,79.04140787188106,87.07,88.22492799048223,73.02942046317492,71.65137115581297
Zambia,72.62109099964115,71.41,103.54,61.93,59.71
