Unnamed: 0,Entity,Code,2017,2018,2019,2020,2021,2022
0,Albania,ALB,3.3605964,3.3775876,3.5188477,3.5597274,3.55,3.8795288
1,Algeria,DZA,4.488165,4.456689,4.345565,4.250733,4.36,4.52766
2,Angola,AGO,3.8027802,3.690527,3.667233,3.821472,4.0,4.083227
3,Antigua and Barbuda,ATG,4.3444552,4.435107,4.4515543,4.512478,4.48,4.6017323
4,Argentina,ARG,3.670125,3.634377620627453,3.663910247610732,3.7298821437866483,3.7835582454531815,3.8783694624599914
5,Armenia,ARM,3.5485246,3.5394528,3.5612435,3.5283177,3.66,3.8054569
6,Aruba,ABW,3.835944,3.9710934,4.207779,4.2821426,4.2,4.3609977
7,Australia,AUS,2.5757203,2.5466793,2.5437455,2.6279163,2.58,2.6943746
8,Austria,AUT,2.2772462,2.2769039,2.3211677,2.4185205,2.43,2.555489
9,Azerbaijan,AZE,3.1726682,3.1617672,3.1796818,3.2351637,3.28,3.462873
10,Bahamas,BHS,4.731366,4.737255,4.6211376,4.7009335,4.66,5.009129
11,Bahrain,BHR,3.3937602,3.3991697,3.4446554,3.6434855,3.67,3.9073057
12,Bangladesh,BGD,3.349542,3.3775876,3.370463,3.3817408,3.37,3.370283
13,Belarus,BLR,3.460088,3.4315426,3.4552543,3.4131503,3.42,3.462873
14,Belgium,BEL,2.2109187,2.2337399,2.289371,2.3871112,2.32,2.3703086
15,Belize,BLZ,2.7636485,2.7517085,2.7557242,2.7849631,2.83,2.8702958
16,Benin,BEN,3.1395044,3.1725583,3.1054893,3.1095264,3.23,3.1665845
17,Bermuda,BMU,3.261105,2.956738,2.946505,2.8163724,2.46,2.1758692
18,Bhutan,BTN,4.49922,4.5969725,4.6423354,4.87892,4.96,4.888762
19,Bolivia,BOL,3.8691077,3.8847651,3.9428055,3.8842907,3.87,3.8887877
20,Bosnia and Herzegovina,BIH,4.49922,4.456689,4.59994,4.543887,4.58,5.1202374
21,Botswana,BWA,3.460088,3.3344233,3.285671,3.3503315,3.31,3.2962105
22,Brazil,BRA,3.5595791,3.4639156,3.49765,3.6958344,3.84,3.935083
23,British Virgin Islands,VGB,3.913326,3.6365716,3.8050191,3.6853647,3.74,3.5184271
24,Brunei,BRN,4.3997283,4.435107,4.419758,4.449659,4.48,4.536919
25,Bulgaria,BGR,3.7475073,3.744482,3.8898108,3.9785185,3.94,4.3887744
26,Burkina Faso,BFA,2.9515765,2.999902,2.8935106,2.9524796,3.04,3.3054695
27,Burundi,BDI,3.692234,3.3775876,3.2962701,3.4445596,3.5,3.6758304
28,Cambodia,KHM,4.112309,4.1113763,4.1123886,4.1879144,4.18,4.1665583
29,Cameroon,CMR,2.852085,2.859619,2.8723125,2.9001307,2.95,3.1388073
30,Canada,CAN,3.4048147,3.3775876,3.3810618,3.4864385,3.48,3.6017582
31,Cape Verde,CPV,3.53747,3.5178707,3.5294468,3.5597274,3.51,3.7684207
32,Cayman Islands,CYM,3.9575443,3.798437,3.5188477,3.7272437,3.72,3.546204
