Country Name,2023,2022,2021,2020,2019
India,"909,121,500","908,804,812","909,384,771","908,684,959","906,325,664"
China,"499,814,553","514,596,570","529,465,517","544,289,492","558,762,145"
Pakistan,"149,004,914","146,845,783","144,765,164","142,759,072","140,882,429"
Indonesia,"114,976,836","115,892,393","116,919,988","117,874,897","118,656,904"
Bangladesh,"102,954,517","103,206,552","103,398,765","103,504,655","103,604,879"
Nigeria,"102,316,764","101,575,770","100,840,661","100,084,652","99,300,013"
Ethiopia,"97,227,189","95,420,799","93,611,468","91,766,343","89,898,498"
Egypt,"64,135,744","63,300,985","62,430,223","61,488,326","60,487,813"
Philippines,"60,678,673","60,117,263","59,577,632","59,003,479","58,337,359"
Vietnam,"59,829,437","60,123,739","60,379,495","60,560,066","60,695,620"
United States,"55,937,486","56,376,192","56,870,028","57,473,509","57,592,357"
Democratic Republic Of Congo,"53,745,241","52,636,799","51,557,473","50,476,837","49,407,432"
Tanzania,"42,210,185","41,471,864","40,725,784","39,967,867","39,216,539"
Kenya,"38,834,893","38,358,435","37,902,724","37,432,361","36,936,235"
Myanmar,"37,051,911","36,965,999","36,879,663","36,786,680","36,676,246"
Uganda,"35,576,357","34,889,566","34,136,762","33,323,884","32,486,255"
Russia,"35,480,468","35,877,495","36,282,223","36,668,590","36,964,045"
Thailand,"33,310,049","33,777,188","34,251,820","34,715,730","35,160,432"
Afghanistan,"30,863,394","30,181,937","29,547,690","28,829,317","28,042,342"
Sudan,"30,625,231","30,020,115","29,406,434","28,773,881","28,128,529"
Brazil,"26,429,509","26,795,765","27,182,995","27,559,886","27,904,512"
Nepal,"24,129,310","23,994,819","23,725,239","23,309,854","23,021,883"
Mexico,"23,658,946","23,843,271","24,053,703","24,278,613","24,461,683"
Niger,"22,563,670","21,780,401","21,022,639","20,287,928","19,571,248"
Mozambique,"20,761,112","20,379,448","20,007,111","19,619,219","19,222,873"
Yemen,"20,728,115","20,491,585","20,268,538","20,045,810","19,788,293"
Iran,"20,280,562","20,537,534","20,798,288","21,059,632","21,302,584"
Turkey,"19,229,921","19,526,684","19,716,558","19,924,769","20,124,610"
South Africa,"18,837,844","18,965,399","19,096,392","19,196,477","19,252,374"
Germany,"18,784,632","18,730,526","18,682,511","18,750,282","18,798,952"
Madagascar,"18,026,828","17,801,970","17,578,693","17,348,887","17,108,814"
Uzbekistan,"18,012,461","17,657,930","17,308,463","16,973,620","16,644,772"
Sri Lanka,"17,803,472","17,960,843","17,977,378","17,817,298","17,750,912"
Malawi,"17,105,427","16,736,441","16,370,252","16,000,221","15,627,061"
Italy,"16,468,986","16,705,485","16,944,019","17,214,086","17,479,118"
Burkina Faso,"15,690,102","15,446,047","15,196,430","14,935,196","14,670,338"
Poland,"14,594,364","14,679,358","15,070,539","15,143,331","15,172,143"
Ghana,"13,908,804","13,853,989","13,794,798","13,725,263","13,646,945"
Chad,"13,824,812","13,458,554","13,094,226","12,729,867","12,372,693"
Morocco,"13,198,229","13,261,620","13,323,470","13,379,661","13,434,809"
Iraq,"12,923,750","12,746,359","12,572,937","12,387,061","12,187,255"
Cambodia,"12,612,034","12,556,766","12,496,843","12,423,573","12,349,492"
Mali,"12,534,572","12,327,741","12,118,494","11,904,776","11,695,460"
France,"12,422,661","12,568,575","12,711,228","12,855,403","12,999,819"
Cameroon,"11,655,151","11,519,492","11,383,170","11,242,817","11,094,657"
Rwanda,"11,572,862","11,335,329","11,096,904","10,854,688","10,612,900"
Angola,"11,486,557","11,359,649","11,227,528","11,089,900","10,942,954"
Burundi,"11,281,370","11,031,286","10,786,763","10,545,078","10,287,647"
Algeria,"11,279,395","11,328,186","11,370,967","11,413,449","11,449,736"
Zimbabwe,"11,246,318","11,033,499","10,827,136","10,617,452","10,408,889"
Ukraine,"11,064,850","11,430,780","13,261,249","13,435,621","13,576,734"
Zambia,"11,038,749","10,857,387","10,672,830","10,480,465","10,279,833"
United Kingdom,"10,497,193","10,576,752","10,622,327","10,798,066","10,926,403"
Japan,"9,907,790","10,066,305","10,221,684","10,376,129","10,513,072"
Syrian Arab Republic,"9,892,618","9,564,966","9,356,279","9,248,998","9,080,189"
North Korea,"9,626,397","9,667,582","9,702,586","9,731,082","9,752,555"
South Korea,"9,589,588","9,597,146","9,621,887","9,634,283","9,612,727"
Somalia,"9,449,071","9,269,665","9,090,664","8,906,671","8,701,179"
Colombia,"9,190,949","9,311,387","9,406,924","9,460,370","9,483,412"
Senegal,"8,956,364","8,816,497","8,674,634","8,526,730","8,375,929"
Spain,"8,923,913","8,932,638","8,982,448","9,089,469","9,160,656"
Papua New Guinea,"8,912,355","8,765,048","8,610,641","8,448,551","8,278,107"
Guinea,"8,786,117","8,638,804","8,489,377","8,335,753","8,177,237"
South Sudan,"8,738,526","8,638,206","8,543,371","8,463,875","8,368,685"
Romania,"8,637,756","8,668,484","8,733,236","8,824,640","8,894,686"
Kazakhstan,"8,322,453","8,248,656","8,094,722","7,939,086","7,860,906"
Guatemala,"8,255,892","8,216,182","8,170,759","8,119,648","8,063,081"
Malaysia,"7,302,226","7,393,781","7,488,317","7,582,878","7,673,844"
Tajikistan,"7,279,615","7,169,192","7,046,761","6,918,252","6,787,161"
Canada,"7,272,932","7,105,599","7,015,868","7,011,720","6,966,193"
Peru,"7,240,866","7,249,838","7,248,826","7,228,131","7,188,973"
Benin,"6,842,701","6,738,656","6,632,056","6,521,955","6,408,115"
Ecuador,"6,404,506","6,377,754","6,342,935","6,302,697","6,246,175"
Saudi Arabia,"5,560,527","5,559,991","5,569,435","5,656,225","5,709,090"
Togo,"5,025,764","4,962,262","4,896,604","4,829,156","4,760,552"
Sierra Leone,"4,896,638","4,833,746","4,768,441","4,699,703","4,628,214"
Haiti,"4,730,238","4,770,701","4,812,100","4,851,974","4,889,165"
Lao PDR,"4,714,088","4,698,995","4,682,315","4,663,189","4,641,317"
Kyrgyz Republic,"4,416,627","4,362,033","4,257,353","4,154,812","4,093,812"
Azerbaijan,"4,290,049","4,343,714","4,381,941","4,400,904","4,407,577"
Honduras,"4,215,060","4,214,875","4,215,972","4,214,803","4,209,597"
Austria,"3,695,875","3,684,012","3,672,325","3,678,385","3,683,835"
Tunisia,"3,669,694","3,680,393","3,692,618","3,701,056","3,704,682"
Bolivia,"3,569,643","3,565,773","3,566,464","3,566,167","3,559,929"
Australia,"3,565,036","3,515,066","3,502,976","3,529,080","3,515,460"
Argentina,"3,516,356","3,538,352","3,559,798","3,579,773","3,599,141"
Portugal,"3,378,005","3,395,541","3,435,051","3,469,087","3,521,605"
Venezuela,"3,334,307","3,289,223","3,292,334","3,339,366","3,407,070"
Central African Republic,"3,237,862","3,173,417","3,129,787","3,088,372","3,033,389"
Turkmenistan,"2,997,211","2,990,694","2,980,799","2,967,958","2,953,086"
Serbia,"2,838,273","2,874,177","2,962,612","3,004,845","3,037,846"
Nicaragua,"2,829,164","2,810,208","2,789,745","2,769,106","2,748,202"
Czech Republic,"2,767,136","2,734,517","2,709,018","2,774,917","2,783,117"
Hungary,"2,602,308","2,646,824","2,694,980","2,735,697","2,770,705"
Paraguay,"2,528,540","2,521,216","2,514,193","2,502,992","2,489,311"
Cuba,"2,516,176","2,533,843","2,556,097","2,577,237","2,590,505"
Liberia,"2,515,915","2,488,813","2,463,081","2,437,512","2,412,132"
Slovak Republic,"2,494,835","2,503,549","2,515,539","2,524,162","2,523,688"
Chile,"2,353,195","2,369,699","2,374,855","2,368,728","2,352,709"
Switzerland,"2,283,085","2,273,624","2,263,530","2,253,266","2,242,521"
Eritrea,"2,126,864","2,113,713","2,100,324","2,085,623","2,074,379"
Mauritania,"2,057,093","2,040,187","2,024,451","2,009,661","1,994,344"
Greece,"2,002,527","2,048,160","2,109,825","2,170,211","2,209,932"
Republic Of Congo,"1,881,648","1,866,593","1,850,943","1,834,446","1,817,563"
Ireland,"1,869,935","1,836,398","1,816,368","1,812,037","1,805,722"
Belarus,"1,768,566","1,815,531","1,868,889","1,924,485","1,974,004"
Dominican Republic,"1,762,730","1,813,679","1,866,357","1,920,541","1,977,456"
Lesotho,"1,621,552","1,615,392","1,608,881","1,599,780","1,589,485"
Bosnia,"1,596,786","1,621,904","1,654,279","1,691,724","1,726,532"
Croatia,"1,596,188","1,610,925","1,633,904","1,718,119","1,738,221"
El Salvador,"1,566,222","1,598,862","1,634,233","1,671,098","1,711,610"
Bulgaria,"1,498,212","1,528,155","1,648,939","1,685,936","1,719,734"
Georgia,"1,476,808","1,473,975","1,488,191","1,509,450","1,523,815"
Moldova,"1,408,252","1,442,777","1,479,663","1,506,003","1,525,908"
Panama,"1,362,230","1,360,444","1,358,683","1,356,428","1,351,913"
Libya,"1,267,050","1,273,772","1,280,107","1,284,810","1,288,001"
Netherlands,"1,219,560","1,259,248","1,302,355","1,354,158","1,409,098"
Jamaica,"1,204,303","1,215,546","1,225,749","1,232,220","1,238,482"
Sweden,"1,186,635","1,206,837","1,225,108","1,244,794","1,263,481"
Namibia,"1,174,846","1,181,955","1,189,044","1,193,946","1,197,828"
Guinea-Bissau,"1,172,940","1,157,198","1,141,289","1,124,913","1,107,850"
UAE,"1,163,057","1,176,081","1,189,467","1,202,890","1,216,952"
West Bank And Gaza,"1,158,063","1,145,354","1,132,085","1,118,249","1,103,858"
Mongolia,"1,065,551","1,055,872","1,045,010","1,032,543","1,016,826"
Armenia,"1,007,320","1,012,841","1,020,631","1,029,293","1,037,446"
Gambia,"985,251","978,162","970,908","963,137","955,107"
Albania,"971,992","1,005,551","1,041,188","1,075,204","1,106,598"
Slovenia,"931,346","934,533","939,634","943,608","943,491"
Timor-Leste,"919,001","911,089","902,269","892,837","884,181"
Eswatini,"910,659","906,348","901,726","895,279","889,128"
Costa Rica,"905,771","930,373","957,348","985,122","1,013,042"
Jordan,"904,697","922,394","933,557","937,903","941,163"
Lithuania,"899,076","892,957","889,294","893,078","898,175"
Norway,"883,411","891,476","901,946","915,909","929,678"
Finland,"794,473","795,579","798,128","800,844","803,615"
Mauritius,"745,691","747,287","749,986","749,987","749,894"
North Macedonia,"734,232","748,840","757,148","770,626","784,127"
Botswana,"725,903","730,591","736,148","741,589","745,611"
Trinidad And Tobago,"714,682","714,385","713,019","710,280","711,537"
Israel,"697,214","691,676","686,549","683,115","678,959"
Denmark,"684,197","686,700","688,752","693,004","698,080"
New Zealand,"679,786","671,172","675,254","677,048","666,466"
Comoros,"595,328","586,880","578,317","569,314","560,303"
Guyana,"592,780","590,192","588,163","583,663","585,574"
Latvia,"589,533","591,254","595,103","602,157","608,174"
Lebanon,"565,803","589,488","609,988","627,169","650,002"
Solomon Islands,"547,640","538,975","529,982","520,674","511,577"
Oman,"538,749","560,597","585,672","623,536","670,025"
Bhutan,"438,201","440,632","443,105","445,612","448,104"
Equatorial Guinea,"438,133","435,309","432,136","429,337","425,111"
Cyprus,"416,009","414,105","412,374","410,602","407,912"
Estonia,"412,452","409,926","407,066","409,107","410,662"
Fiji,"386,601","388,373","390,740","393,508","397,236"
Maldives,"302,343","306,227","307,128","305,221","301,504"
Vanuatu,"247,615","242,389","237,230","232,127","227,104"
Djibouti,"243,747","242,328","240,823","239,158","237,192"
Belize,"219,348","217,242","215,213","213,159","210,633"
Gabon,"218,584","221,340","224,215","227,148","230,087"
Belgium,"214,107","215,837","218,168","221,657","225,069"
Suriname,"209,339","208,236","207,072","205,498","203,532"
Puerto Rico,"204,074","205,765","209,073","210,643","205,163"
Montenegro,"194,083","196,496","199,225","201,999","204,336"
Barbados,"193,378","193,416","193,336","193,142","192,882"
Cabo Verde,"191,686","192,507","193,416","194,299","195,065"
Samoa,"186,169","183,207","179,951","176,480","173,643"
Bahrain,"150,497","151,007","151,858","155,046","158,474"
St. Lucia,"145,693","145,594","145,625","145,467","145,092"
Uruguay,"144,763","147,591","150,653","153,795","156,815"
Channel Islands,"120,710","119,980","119,131","118,131","117,010"
French Polynesia,"116,482","115,865","115,331","114,805","114,201"
Brunei,"94,356","94,946","95,515","96,075","96,625"
Micronesia,"88,286","87,659","87,034","86,397","85,971"
Tonga,"82,813","82,147","81,523","80,941","80,700"
Grenada,"79,421","79,192","78,886","78,480","78,057"
New Caledonia,"73,097","74,505","75,912","77,209","78,378"
Antigua And Barbuda,"71,353","70,935","70,492","70,023","69,543"
Bahamas,"67,567","67,680","67,855","68,104","68,241"
Aruba,"59,245","59,554","59,803","60,011","60,091"
Kiribati,"56,394","56,354","56,273","56,157","56,113"
Sao Tome And Principe,"54,716","55,128","55,614","56,073","56,658"
Luxembourg,"52,967","53,025","53,305","53,882","54,417"
Seychelles,"49,323","49,874","41,716","41,801","41,863"
St. Vincent And The Grenadines,"47,391","47,946","48,564","49,144","49,719"
Isle Of Man,"39,405","39,495","39,540","39,587","39,671"
Liechtenstein,"33,798","33,610","33,390","33,169","32,952"
St. Kitts And Nevis,"32,905","32,888","32,893","32,948","33,017"
Faroe Islands,"30,371","30,379","30,367","30,192","29,859"
Malta,"27,987","27,220","26,912","27,086","26,826"
Iceland,"23,451","22,951","22,560","22,362","22,157"
Dominica,"20,447","20,585","20,713","20,814","20,867"
Qatar,"17,548","18,381","19,409","21,117","22,795"
Curacao,"16,231","16,462","16,703","16,948","17,164"
British Virgin Islands,"15,848","15,862","15,897","15,914","15,882"
Andorra,"9,792","9,730","9,596","9,389","9,173"
Marshall Islands,"8,875","8,929","9,183","9,640","10,101"
Guam,"8,360","8,432","8,501","8,566","8,669"
Greenland,"6,858","6,954","7,078","7,169","7,280"
American Samoa,"5,606","5,669","5,778","5,934","6,082"
Virgin Islands (U.S.),"3,959","4,073","4,192","4,316","4,446"
Northern Mariana Islands,"3,946","3,973","4,013","4,067","4,134"
