Country Name,2023,2022,2021,2020,2019
China,"910,895,447","897,578,430","882,894,483","866,810,508","848,982,855"
India,"519,506,163","508,368,361","498,179,071","487,702,168","476,786,386"
United States,"278,977,409","276,895,219","275,178,949","274,053,424","270,737,596"
Brazil,"189,992,937","188,517,733","187,143,228","185,636,418","183,878,366"
Indonesia,"162,557,286","159,608,946","156,833,203","153,983,073","150,925,974"
Nigeria,"121,487,868","116,965,442","112,560,662","108,242,753","104,004,479"
Japan,"114,608,860","115,058,684","115,459,909","115,884,871","116,119,928"
Russia,"108,345,662","108,359,438","108,464,539","108,576,558","108,489,246"
Mexico,"104,796,621","103,660,854","102,651,435","101,719,689","100,623,628"
Pakistan,"91,480,744","88,979,079","86,636,953","84,437,669","82,410,851"
Bangladesh,"69,999,802","67,979,820","65,957,486","63,916,296","61,911,343"
Iran,"68,892,205","68,013,036","67,125,144","66,230,561","65,261,618"
Turkey,"66,096,079","65,453,229","64,430,760","63,459,911","62,454,830"
Germany,"65,697,635","65,067,459","64,513,567","64,410,589","64,294,010"
United Kingdom,"57,852,807","57,214,248","56,403,965","56,283,168","55,909,924"
Philippines,"56,658,695","55,441,746","54,302,696","53,187,498","52,043,445"
France,"55,747,567","55,402,736","55,053,076","54,715,704","54,388,182"
Egypt,"48,580,854","47,689,118","46,831,955","45,976,808","45,130,858"
Democratic Republic Of Congo,"48,517,567","46,373,413","44,336,645","42,376,327","40,499,458"
Argentina,"43,138,225","42,696,478","42,248,949","41,796,990","41,339,571"
Colombia,"42,894,219","42,562,637","42,109,638","41,470,292","40,703,994"
Italy,"42,292,160","42,234,940","42,189,154","42,224,765","42,249,963"
South Korea,"42,123,031","42,075,423","42,147,652","42,201,956","42,152,095"
South Africa,"41,576,651","40,928,486","40,295,863","39,605,450","38,834,681"
Spain,"39,449,423","38,845,702","38,433,346","38,276,186","37,974,181"
Vietnam,"39,029,513","38,063,117","37,088,534","36,088,619","35,081,096"
Thailand,"38,491,230","37,919,842","37,349,283","36,759,934","36,147,331"
Algeria,"34,327,085","33,575,039","32,807,002","32,038,217","31,255,632"
Canada,"32,824,829","31,833,457","31,223,996","31,016,918","30,652,302"
Iraq,"32,580,810","31,749,763","30,960,655","30,169,923","29,376,265"
Saudi Arabia,"31,386,498","30,848,829","30,380,961","30,340,882","30,118,272"
Ethiopia,"29,299,871","27,959,125","26,671,558","25,424,568","24,222,096"
Peru,"27,111,853","26,799,750","26,466,645","26,076,625","25,635,888"
Malaysia,"27,006,299","26,544,440","26,085,557","25,617,115","25,130,176"
Ukraine,"25,935,150","26,569,220","30,587,737","30,772,133","30,897,778"
Venezuela,"25,504,192","25,012,473","24,907,533","25,151,087","25,564,613"
Tanzania,"25,227,921","24,025,884","22,862,550","21,736,651","20,656,040"
Angola,"25,197,645","24,229,338","23,276,246","22,338,586","21,410,634"
Morocco,"24,641,815","24,196,351","23,753,114","23,309,111","22,869,599"
Australia,"23,073,508","22,499,333","22,182,436","22,120,168","21,819,366"
Poland,"22,091,485","22,142,391","22,676,585","22,755,739","22,793,332"
Ghana,"20,213,181","19,621,881","19,038,233","18,455,138","17,875,345"
Uzbekistan,"18,399,889","17,990,170","17,606,637","17,258,430","16,935,578"
Myanmar,"17,526,086","17,213,307","16,918,421","16,636,518","16,363,966"
